dataset	turn_id	response_type	base_model	tuning	user_experience	user_direction	user_response	not_generic	valid	related	informative	naive	savvy	reasons	informative	comment
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	alpaca-7b	inquisitive	none	none	Why is the Broil King Regal 500  better value?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	alpaca-7b	none	naive	implications	Are there any differences between the charcoal and gas grills?	1	0	0	0	0	0	0	0	to discuss
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	alpaca-7b	none	naive	reasons	Follow-up questions: Are there any differences between each type of grill?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	alpaca-7b	none	none	none	Is the Broil King Regal 500 suitable for small or large groups?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	alpaca-7b	none	savvy	implications	What type of grills are the most popular?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	alpaca-7b	none	savvy	reasons	What is the average price range for gas grills?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	alpaca-7b	nudged-questions	none	none	What is the best way to clean a gas grill?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	alpaca-7b	treccast	none	none	Tell me what sets the Broil King Regal 500 apart from the others?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	gpt-4	none	naive	implications	Are there considerable differences among these models regarding their build quality?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	gpt-4	none	naive	reasons	Do these grills have different sizes?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	gpt-4	none	none	none	Are there any other grill types apart from charcoal, gas, and pellet?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	gpt-4	none	none	none	Are there any other grill types apart from charcoal, gas, and pellet?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	gpt-4	none	none	none	Are there any other grill types apart from charcoal, gas, and pellet?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	gpt-4	none	savvy	implications	Can you elaborate on what makes the Weber One Touch a premium choice for charcoal grills?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	gpt-4	none	savvy	reasons	How does the Broil King Regal 500 stand out compared to other pellet grills or smokers?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	Llama-2-13b-hf	inquisitive	naive	implications	What is a pellet grill?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	Llama-2-13b-hf	inquisitive	naive	reasons	What is a pellet grill?	1	1	1	1	0	0	0	1	
